,artist,album,release_date
1,AKMU (악뮤),PLAY,2014-04-07T07:00:00Z
152,AKMU (악뮤),SPRING - EP,2016-05-04T07:00:00Z
217,AKMU (악뮤),WINTER,2017-01-03T08:00:00Z
89,AKMU (악뮤),SUMMER EPISODE - EP,2017-07-20T07:00:00Z
226,AKMU (악뮤),SAILING,2019-09-25T07:00:00Z
406,AKMU (악뮤),AKMU 'SAILING' TOUR LIVE,2020-07-03T07:00:00Z
159,AKMU (악뮤),NEXT EPISODE - EP,2021-07-26T07:00:00Z
468,AKMU (악뮤),LOVE EPISODE - EP,2024-06-03T07:00:00Z
206,ALLDAY PROJECT,ALLDAY PROJECT - EP,2025-12-08T08:00:00Z
121,BLACKPINK,SQUARE TWO - EP,2016-11-01T07:00:00Z
522,BLACKPINK,BLACKPINK - EP,2017-08-29T07:00:00Z
456,BLACKPINK,Re: BLACKPINK - EP,2018-03-28T07:00:00Z
496,BLACKPINK,SQUARE UP - EP,2018-06-15T07:00:00Z
4,BLACKPINK,BLACKPINK IN YOUR AREA,2018-12-05T08:00:00Z
521,BLACKPINK,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13T07:00:00Z
508,BLACKPINK,KILL THIS LOVE - EP,2019-04-05T07:00:00Z
387,BLACKPINK,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),2019-08-30T07:00:00Z
60,BLACKPINK,Kill This Love (Japan Version) - EP,2019-10-16T07:00:00Z
145,BLACKPINK,BLACKPINK 2019-2020 WORLD TOUR IN YOUR AREA - TOKYO DOME (Live),2020-05-14T07:00:00Z
394,BLACKPINK,THE ALBUM,2020-10-02T07:00:00Z
277,BLACKPINK,BLACKPINK 2021 'THE SHOW' LIVE,2021-06-01T07:00:00Z
327,BLACKPINK,BORN PINK,2022-09-16T07:00:00Z
44,BLACKPINK,DEADLINE - EP,2026-02-26T08:00:00Z
107,BLACKPINK,DEADLINE - EP,2026-02-27T08:00:00Z
372,C-Clown (씨클라운),Not Alone - EP,2012-07-19T07:00:00Z
375,C-Clown (씨클라운),Young Love,2012-11-15T08:00:00Z
298,C-Clown (씨클라운),Shaking Heart - EP,2013-04-18T07:00:00Z
239,C-Clown (씨클라운),Let's Love,2014-07-09T07:00:00Z
481,Dal★Shabet (달샤벳),Pink Rocket - EP,2011-04-11T07:00:00Z
183,Dal★Shabet (달샤벳),Bling Bling - EP,2011-08-11T07:00:00Z
308,Dal★Shabet (달샤벳),Hit U - EP,2012-01-27T08:00:00Z
191,Dal★Shabet (달샤벳),The 1st Album - Bang Bang,2012-06-06T07:00:00Z
345,Dal★Shabet (달샤벳),"The 5th Mini Album ( Have, Don’t Have! ) - EP",2012-11-13T08:00:00Z
378,Dal★Shabet (달샤벳),"The 7th Mini Album ""B.B.B"" - EP",2013-01-08T08:00:00Z
437,Dal★Shabet (달샤벳),Be Ambitious,2013-06-20T07:00:00Z
63,Dal★Shabet (달샤벳),Joker is Alive - EP,2015-04-15T07:00:00Z
69,Dal★Shabet (달샤벳),Naturalness,2016-01-05T08:00:00Z
238,Dal★Shabet (달샤벳),Fri. Sat. Sun - EP,2016-09-29T07:00:00Z
