,artist,album,YYYYNN
0,"가인, 조권",우리 사랑하게 됐어요,201001
1,이승기,Shadow (Repackage),201001
2,거미,크리스마스에 눈이 올까요? OST,201001
3,티아라 (T-ara),Absolute First Album,201001
4,지아 (Zia),Atelier,201001
5,애프터스쿨 (After School),너 때문에,201001
6,윤하,3rd Album Part B - Growing Season,201001
7,쥬얼리 (Jewelry),End And.. (Repackage),201001
8,길미,The 2nd Purple Dream Sound,201001
9,티아라 (T-ara),Absolute First Album,201001
100,"가인, 조권",우리 사랑하게 됐어요,201002
101,이승기,Shadow (Repackage),201002
102,거미,크리스마스에 눈이 올까요? OST,201002
103,티아라 (T-ara),Absolute First Album,201002
104,지아 (Zia),Atelier,201002
105,애프터스쿨 (After School),너 때문에,201002
106,윤하,3rd Album Part B - Growing Season,201002
107,쥬얼리 (Jewelry),End And.. (Repackage),201002
108,길미,The 2nd Purple Dream Sound,201002
109,티아라 (T-ara),Absolute First Album,201002
200,"가인, 조권",우리 사랑하게 됐어요,201003
201,현아 (HyunA),Change,201003
202,거미,크리스마스에 눈이 올까요? OST,201003
203,이승기,Shadow (Repackage),201003
204,길미,The 2nd Purple Dream Sound,201003
205,지아 (Zia),Atelier,201003
206,티아라 (T-ara),Absolute First Album,201003
207,김우주,사랑해,201003
208,김남길,사랑하면 안 되니,201003
209,포맨 (4Men),First Kiss,201003
300,"가인, 조권",우리 사랑하게 됐어요,201004
301,현아 (HyunA),Change,201004
302,"아이유 (IU), 나윤권",첫사랑이죠,201004
303,길미,The 2nd Purple Dream Sound,201004
304,씨엔블루 (CNBLUE),Bluetory,201004
305,"씨야 (SeeYa), 다비치, 티아라",원더우먼,201004
306,임재범,추노 OST,201004
307,이승기,Shadow (Repackage),201004
308,거미,크리스마스에 눈이 올까요? OST,201004
309,김남길,사랑하면 안 되니,201004
400,2am,죽어도 못 보내,201005
401,씨엔블루 (CNBLUE),Bluetory,201005
402,포맨 (4MEN),The 3rd Generation (Special Album),201005
403,"가인, 조권",우리 사랑하게 됐어요,201005
404,2am,죽어도 못 보내,201005
405,현아 (HyunA),Change,201005
406,"씨야 (SeeYa), 다비치, 티아라",원더우먼,201005
407,지연 (티아라),공부의 신 OST,201005
408,"아이유 (IU), 나윤권",첫사랑이죠,201005
409,이승기,Shadow (Repackage),201005
500,2am,죽어도 못 보내,201006
501,소녀시대,Oh!,201006
502,씨엔블루 (CNBLUE),Bluetory,201006
503,2am,죽어도 못 보내,201006
504,포맨 (4MEN),The 3rd Generation (Special Album),201006
505,이승기,Shadow (Repackage),201006
506,대성,솜사탕,201006
507,"가인, 조권",우리 사랑하게 됐어요,201006
508,"씨야 (SeeYa), 다비치, 티아라",원더우먼,201006
509,현아 (HyunA),Change,201006
600,소녀시대,Oh!,201007
601,2am,죽어도 못 보내,201007
602,씨엔블루 (CNBLUE),Bluetory,201007
603,2am,죽어도 못 보내,201007
604,이승기,Shadow (Repackage),201007
605,대성,솜사탕,201007
606,소녀시대,`Run Devil Run` The 2nd Album Repackage,201007
607,"씨야 (SeeYa), 다비치, 티아라",원더우먼,201007
608,포맨 (4MEN),The 3rd Generation (Special Album),201007
609,현아 (HyunA),Change,201007
700,2NE1 (투애니 원),날 따라 해봐요,201008
701,소녀시대,Oh!,201008
702,2am,죽어도 못 보내,201008
703,민경훈,재회 (再會),201008
704,씨엔블루 (CNBLUE),Bluetory,201008
705,언터쳐블 (Untouchable),Untouchable Mini Album 2nd,201008
706,김종국,Eleventh Story,201008
707,케이윌 (K.Will),산부인과 OST Part 1,201008
708,소녀시대,`Run Devil Run` The 2nd Album Repackage,201008
709,이승기,Shadow (Repackage),201008
800,카라 (KARA),루팡 (Lupin),201009
801,2NE1 (투애니 원),날 따라 해봐요,201009
802,소녀시대,Oh!,201009
803,2am,죽어도 못 보내,201009
804,민경훈,재회 (再會),201009
805,씨엔블루 (CNBLUE),Bluetory,201009
806,언터쳐블 (Untouchable),Untouchable Mini Album 2nd,201009
807,이승기,Shadow (Repackage),201009
808,포맨 (4MEN),The 3rd Generation (Special Album),201009
809,BIGBANG (빅뱅),Lollipop Part 2,201009
900,카라 (KARA),루팡 (Lupin),201010
901,티아라 (T-ara),Breaking Heart (Repackage),201010
902,BIGBANG (빅뱅),Lollipop Part 2,201010
903,조PD,보란듯이,201010
904,빅마마 (BigMama),하루만,201010
905,민경훈,재회 (再會),201010
906,2NE1 (투애니 원),날 따라 해봐요,201010
907,소녀시대,Oh!,201010
908,2am,죽어도 못 보내,201010
909,언터쳐블 (Untouchable),Untouchable Mini Album 2nd,201010
1000,티아라 (T-ara),Breaking Heart (Repackage),201011
1001,카라 (KARA),루팡 (Lupin),201011
1002,비스트 (Beast),Shock Of The New Era,201011
1003,아웃사이더,주변인 : The Outsider,201011
