,year,week,ranking,score,album,artist,YYYYNN,start_date,end_date,debut_release_date,add_album,diff
46,2012,5,51,,Warrior,B.A.P,201205,2012-01-29,2012-02-04,2012-01-26 08:00:00,WARRIOR - EP,2.0
70,2012,47,40,,Young Love,C-Clown (씨클라운),201247,2012-11-18,2012-11-24,2012-11-15 08:00:00,Young Love,2.0
89,2015,38,57,,The Day,DAY6,201538,2015-09-13,2015-09-19,2015-09-07 07:00:00,The Day - EP,5.0
104,2015,36,46,,The Anecdote,E SENS,201536,2015-08-30,2015-09-05,2015-08-27 07:00:00,The Anecdote,2.0
111,2013,24,10,,The 1st Album XOXO (Kiss & Hug),EXO,201324,2013-06-09,2013-06-15,2013-06-03 07:00:00,The 1st Album 'XOXO',5.0
124,2010,15,8,,Shine A Light (Live),G-Dragon,201015,2010-04-04,2010-04-10,2010-03-30 07:00:00,Shine A Light (Live),4.0
135,2014,5,19,,GOT7 미니앨범 1집 Got It?,GOT7,201405,2014-01-26,2014-02-01,2014-01-20 08:00:00,Got It? - EP,5.0
177,2010,43,48,,Sweet Delight,Jessica (제시카),201043,2010-10-17,2010-10-23,2010-10-13 07:00:00,Sweet Delight - EP,3.0
335,2015,44,22,,THE STORY BEGINS,TWICE,201544,2015-10-25,2015-10-31,2015-10-20 07:00:00,The Story Begins - EP,4.0
394,2018,19,33,12149754.0,I am,i-dle (아이들),201819,2018-05-06,2018-05-12,2018-05-02 07:00:00,I am - EP,3.0
403,2010,28,19,,Bad But Good,miss A,201028,2010-07-04,2010-07-10,2010-07-01 07:00:00,Bad But Good - EP,2.0
421,2010,42,10,,step 2/4 (EP),가인,201042,2010-10-10,2010-10-16,2010-10-08 07:00:00,Step 2/4 - EP,1.0
427,2011,9,17,,돌아와 나쁜 너 (EP),가희,201109,2011-02-20,2011-02-26,2011-02-14 08:00:00,돌아와 나쁜 너 Please Come Back - Ep,5.0
556,2012,2,95,,무한도전 나름 가수다,길 (리쌍),201202,2012-01-08,2012-01-14,2012-01-07 08:00:00,무한도전 나름 가수다,0.0
708,2010,29,6,,NARSHA (EP),나르샤 (브라운 아이드 걸스),201029,2010-07-11,2010-07-17,2010-07-08 07:00:00,NARSHA,2.0
760,2015,9,6,,NIEL 1ST SOLO `oNIELy`,니엘 (NIEL),201509,2015-02-22,2015-02-28,2015-02-16 08:00:00,"1ST SOLO ""oNIELy""",5.0
783,2011,9,75,,달마시안 1st Mini Album,달마시안,201109,2011-02-20,2011-02-26,2011-02-14 08:00:00,달마시안 1st Mini Album,5.0
804,2010,20,80,,INK MUSIC,더블 케이 (Double K),201020,2010-05-09,2010-05-15,2010-05-06 07:00:00,Ink Music,2.0
992,2014,26,52,,HELLO,마마무 (Mamamoo),201426,2014-06-22,2014-06-28,2014-06-18 07:00:00,Hello - EP,3.0
1094,2010,7,37,,재회 (再會),민경훈,201007,2010-02-07,2010-02-13,2010-02-04 08:00:00,재회,2.0
1216,2013,38,91,,"O!RUL8,2?",방탄소년단,201338,2013-09-15,2013-09-21,2013-09-11 07:00:00,"O!RUL8,2?",3.0
1227,2012,16,22,,두 마리,배치기,201216,2012-04-15,2012-04-21,2012-04-12 07:00:00,두 마리 - EP,2.0
1234,2015,50,7,,FRANK,백예린,201550,2015-12-06,2015-12-12,2015-11-30 08:00:00,FRANK - EP,5.0
1330,2010,46,86,,졸업,브로콜리 너마저,201046,2010-11-07,2010-11-13,2010-11-01 07:00:00,Graduation,5.0
1333,2015,17,6,,품행제로,블락비 바스타즈,201517,2015-04-19,2015-04-25,2015-04-14 07:00:00,Zero For Conduct - EP,4.0
1353,2011,19,86,,Let`s Fly (EP),비원에이포 (B1A4),201119,2011-05-01,2011-05-07,2011-04-21 07:00:00,Let's Fly - EP,9.0
1386,2010,39,57,,Everybody Ready?,산이 (San E),201039,2010-09-19,2010-09-25,2010-09-13 07:00:00,Everybody Ready?,5.0
