,year,week,ranking,score,album,artist,YYYYNN,start_date,end_date,second_release_date,add_album,sophomore_diff
0,2012,18,47,,POWER,B.A.P,201218,2012.04.29,2012.05.05,2012-04-27 07:00:00,Power - EP,1.0
4,2014,27,15,,GOT♡,GOT7,201427,2014.06.29,2014.07.05,2014-06-23 07:00:00,GOT♡,5.0
8,2010,41,2,,Step Up,miss A,201041,2010.10.03,2010.10.09,2010-09-27 07:00:00,Step Up - EP,5.0
12,2015,17,38,,oNIELy `Spring Love`,니엘 (NIEL),201517,2015.04.19,2015.04.25,2015-04-14 07:00:00,oNIELy ‘Spring Love’,4.0
13,2012,21,78,,State Of Emergency,달마시안,201221,2012.05.20,2012.05.26,2012-05-16 07:00:00,State of Emergency - EP,3.0
18,2013,4,1,,4집 Part 2,배치기,201304,2013.01.20,2013.01.26,2013-01-14 08:00:00,"4집, Pt. 2 - EP",5.0
22,2011,39,81,,it B1A4,비원에이포 (B1A4),201139,2011.09.18,2011.09.24,2011-09-16 07:00:00,Beautiful Target - EP,1.0
29,2013,35,3,,Let`s Talk About Love,승리,201335,2013.08.25,2013.08.31,2013-08-19 07:00:00,Let's Talk About Love - EP,5.0
30,2010,34,16,,Madonna (EP),시크릿 (Secret),201034,2010.08.15,2010.08.21,2010-08-12 07:00:00,Madonna - EP,2.0
33,2010,36,90,,Be The Voice,안진경,201036,2010.08.29,2010.09.04,2010-08-26 07:00:00,BE THE VOICE - EP,2.0
35,2015,31,27,,2nd Mini Album `Flower Bud`,여자친구 (GFRIEND),201531,2015.07.26,2015.08.01,2015-07-23 07:00:00,Flower Bud - EP,2.0
36,2010,48,19,,아잉♡ (EP),오렌지 캬라멜 (Orange Caramel),201048,2010.11.21,2010.11.27,2010-11-18 08:00:00,A-Ing♡ - EP,2.0
37,2015,42,73,,Closer,오마이걸 (OH MY GIRL),201542,2015.10.11,2015.10.17,2015-10-08 07:00:00,CLOSER - EP,2.0
42,2012,13,73,,SBS K팝 스타 Top 8,이하이,201213,2012.03.25,2012.03.31,2012-03-21 07:00:00,SBS K-POP Star SPECIAL No.1 - EP,3.0
44,2015,6,2,,Fly Again,인피니트H,201506,2015.02.01,2015.02.07,2015-01-26 08:00:00,Second Mini Album 'Fly Again',5.0
49,2011,46,5,,"열꽃, Part 2",타블로,201146,2011.11.06,2011.11.12,2011-11-01 07:00:00,"Fever's End, Pt. 2 - EP",4.0
50,2013,45,1,,Chemistry,트러블메이커 (Trouble Maker),201345,2013.11.03,2013.11.09,2013-10-28 07:00:00,Chemistry - EP,5.0
51,2011,4,69,,Transform,틴 탑 (Teen Top),201104,2011.01.16,2011.01.22,2011-01-13 08:00:00,Transform - EP,2.0
