,artist,album,YYYYNN,release_date
6,윤하,3rd Album Part B - Growing Season,201001,2001-01-01T00:00:00Z
1,이승기,Shadow (Repackage),201001,2004-06-25T07:00:00Z
3,티아라 (T-ara),Absolute First Album,201001,2009-05-06T07:00:00Z
8,길미,The 2nd Purple Dream Sound,201001,2009-06-30T07:00:00Z
5,애프터스쿨 (After School),너 때문에,201001,2009-01-15T08:00:00Z
2,거미,크리스마스에 눈이 올까요? OST,201001,2003-02-01T08:00:00Z
4,지아 (Zia),Atelier,201001,2007-07-16T07:00:00Z
7,쥬얼리 (Jewelry),End And.. (Repackage),201001,2001-03-13T08:00:00Z
28,김남길,사랑하면 안 되니,201003,2013-01-14T08:00:00Z
29,포맨 (4Men),First Kiss,201003,1998-02-01T08:00:00Z
21,현아 (HyunA),Change,201003,2010-01-04T08:00:00Z
27,김우주,사랑해,201003,2005-05-10T07:00:00Z
34,씨엔블루 (CNBLUE),Bluetory,201004,2010-01-14T08:00:00Z
36,임재범,추노 OST,201004,1991-01-01T08:00:00Z
47,지연 (티아라),공부의 신 OST,201005,2009-05-06T07:00:00Z
42,포맨 (4MEN),The 3rd Generation (Special Album),201005,1998-02-01T08:00:00Z
40,2am,죽어도 못 보내,201005,2008-07-11T07:00:00Z
56,대성,솜사탕,201006,2008-06-16T07:00:00Z
51,소녀시대,Oh!,201006,2007-08-03T07:00:00Z
77,케이윌 (K.Will),산부인과 OST Part 1,201008,2005-11-10T08:00:00Z
73,민경훈,재회 (再會),201008,2007-12-04T08:00:00Z
76,김종국,Eleventh Story,201008,2001-12-01T08:00:00Z
75,언터쳐블 (Untouchable),Untouchable Mini Album 2nd,201008,2008-10-10T07:00:00Z
70,2NE1 (투애니 원),날 따라 해봐요,201008,2009-03-27T07:00:00Z
80,카라 (KARA),루팡 (Lupin),201009,2007-03-29T07:00:00Z
89,BIGBANG (빅뱅),Lollipop Part 2,201009,2006-08-29T07:00:00Z
93,조PD,보란듯이,201010,1999-01-01T08:00:00Z
94,빅마마 (BigMama),하루만,201010,2003-02-06T08:00:00Z
104,V.O.S,This Is Voice Of Soul,201011,2004-05-15T07:00:00Z
103,아웃사이더,주변인 : The Outsider,201011,2004-01-01T08:00:00Z
102,비스트 (Beast),Shock Of The New Era,201011,2009-10-14T07:00:00Z
116,디셈버 (December),Honesty,201012,2009-10-27T07:00:00Z
128,정인,정인 From Andromeda,201013,2010-03-11T08:00:00Z
127,에픽하이 (EPIK HIGH),Epilogue,201013,2003-10-24T07:00:00Z
123,마이티마우스 & 백지영,사랑이올까요,201013,2008-03-03T08:00:00Z
132,브라운 아이드 소울 (Brown Eyed Soul),비켜줄께 / Blowin My Mind,201014,2003-09-18T07:00:00Z
147,G-Dragon,Shine A Light (Live),201015,2008-06-30T07:00:00Z
140,비 (Rain),Back To The Basic,201015,2002-05-01T07:00:00Z
155,씨야 (SeeYa),개인의 취향 OST,201016,2006-02-22T08:00:00Z
158,주 (Joo),신데렐라 언니 OST,201016,2008-01-10T08:00:00Z
154,시크릿 (Secret),Secret Time,201016,2009-10-13T07:00:00Z
150,이효리,H-Logic,201016,2003-08-13T07:00:00Z
169,예성 (YESUNG),신데렐라 언니 OST,201017,2010-12-30T08:00:00Z
172,먼데이 키즈 (Monday Kiz),New Sentimental,201018,2008-03-31T07:00:00Z
174,김태우,개인의 취향 OST Part 4,201018,2000-05-19T07:00:00Z
170,2PM,Don`t Stop Can`t Stop,201018,2008-08-29T07:00:00Z
179,현아 & 낯선,E-TRIBE Project Album (201004),201018,2010-01-04T08:00:00Z
188,이석훈,인사,201019,2009-11-24T08:00:00Z
187,바비 킴 (Bobby Kim),Heart & Soul Repakage Special Edition 'Photo Essay',201019,1998-10-01T07:00:00Z
192,뜨거운 감자,5집 시소,201020,2003-06-13T07:00:00Z
195,다비치,Innocence,201020,2008-01-28T08:00:00Z
190,f(x),`NU 예삐오 (NU ABO)` (The 1st Mini Album),201020,2009-09-01T07:00:00Z
194,서인국,Just Beginning,201020,2009-10-27T07:00:00Z
207,슈퍼주니어 (Super Junior),`미인아 (BONAMANA)` The 4th Album,201021,2005-12-05T08:00:00Z
206,에이트 (8eight),The Bridge,201021,2007-11-07T08:00:00Z
215,엠블랙 (MBLAQ),Y (EP),201022,2009-10-14T07:00:00Z
211,바이브 (Vibe),4집 Vibe In Praha,201022,2002-02-01T08:00:00Z
214,포미닛 (4minute),Hit Your Heart,201022,2009-04-16T07:00:00Z
210,원더걸스 (Wonder Girls),2 Different Tears,201022,2007-02-13T08:00:00Z
239,서인영,Lov-Elly (EP),201024,2007-02-27T08:00:00Z
235,화요비,Hwayobi,201024,2000-06-14T07:00:00Z
246,코요태(KYT),코요태 어글리 (Koyote Ugly),201025,1998-12-02T08:00:00Z
267,씨스타 (Sistar),Push Push,201027,2010-06-03T07:00:00Z
261,T.O.P,GD & TOP 정규앨범 1집,201027,2009-06-25T07:00:00Z
263,나비 (Navi),1집 Hello,201027,2008-12-09T08:00:00Z
262,MC몽,블루브랜드 2집 Trauma Part 2,201027,2004-04-24T07:00:00Z
272,조권,고백하던 날,201028,2009-12-17T08:00:00Z
273,백지영,Timeless : The Best,201028,1999-06-01T07:00:00Z
